customerid,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,referredby,good_bad_flag,birthdate,longitude_gps,latitude_gps,bank_branch_clients,systemloanid_count,loanamount_mean,loanamount_max,totaldue_mean,termdays_mean,termdays_max,repayment_delay_mean,employment_status_clients_Permanent
8a2a81a74ce8c05d014cfb32a0da1049,301994762,12,22:56.0,22:47.0,30000,34500,30,,Good,00:00.0,3.4320102,6.4330553,,11,18181.81818181818,30000,22081.81818181818,30,30,-0.909090909,TRUE
8a85886e54beabf90154c0a29ae757c0,301965204,2,04:41.0,04:18.0,15000,17250,30,,Good,00:00.0,3.885298,7.3207003,"DUGBE,IBADAN",,,,,,,,TRUE
8a8588f35438fe12015444567666018e,301966580,7,52:57.0,52:51.0,20000,22250,15,,Good,00:00.0,11.1393496,10.2920413,,6,10000,10000,11750,17.5,30,0.8333333333333334,TRUE
8a85890754145ace015429211b513e16,301999343,3,00:41.0,00:35.0,10000,11500,15,,Good,00:00.0,3.9857698,7.4917081,,2,10000,10000,12250,22.5,30,7.5,TRUE
8a858970548359cc0154883481981866,301962360,9,42:45.0,42:39.0,40000,44000,30,,Good,00:00.0,7.4579127,9.0765736,,8,18750,30000,23550,37.5,60,-3.125,TRUE
8a8589f35451855401546b0738c42524,301986516,8,46:24.0,46:18.0,30000,39000,60,,Good,,,,,7,14285.714285714286,20000,17828.571428571428,30,30,-5.428571429,FALSE
8a858e095c59b91b015c5e5cea3719bc,301972027,3,25:33.0,25:28.0,10000,13000,30,,Good,00:00.0,3.2594445,6.5570112,,2,10000,10000,12250,22.5,30,-2.5,TRUE
8a858e1158dc4d830158f7bde4f47ea7,301994428,10,42:27.0,42:21.0,30000,34500,30,,Good,00:00.0,6.1780556,5.4257996,,9,20000,30000,23000,23.333333333333332,30,-1,FALSE
8a858e185b4923b4015b4ae48d28646a,301996687,4,53:05.0,52:57.0,10000,11500,15,,Good,00:00.0,3.3965242,6.6279429,,3,10000,10000,11500,15,15,1.3333333333333333,TRUE
8a858e1d5cd58f9e015ceda4bdb63673,301981931,2,48:42.0,48:35.0,10000,11500,15,,Good,00:00.0,3.2858723,6.5824439,,1,10000,10000,11500,15,15,-3,FALSE
8a858e245c214660015c2ba8187976f7,301962365,2,49:10.0,49:03.0,10000,13000,30,,Good,00:00.0,7.1233193,4.8834997,,1,10000,10000,11500,15,15,-2,TRUE
8a858e345bd96da8015be6b9f8bc10c7,301960371,3,59:20.0,59:14.0,10000,13000,30,,Bad,00:00.0,3.8210848,7.3326277,,2,10000,10000,12250,22.5,30,0,TRUE
8a858e395cb1d4d9015cb236b4811cbc,301999914,2,15:32.0,15:25.0,10000,11500,15,,Good,00:00.0,3.1727935,6.6832653,,1,10000,10000,13000,30,30,-3,FALSE
8a858e4456ced8470156dc8f1f4038d3,301995555,11,13:30.0,13:23.0,40000,44000,30,,Good,00:00.0,3.3022556,6.636865,,10,24000,40000,27720,28.5,30,-1.5,TRUE
8a858e5357d823010157d932443d28a3,301983540,13,00:05.0,59:56.0,40000,44000,30,,Good,00:00.0,3.3526543,6.456209,,12,21666.666666666668,40000,24575,22.5,30,-0.666666667,FALSE
8a858e5b5bd99460015bdf725e143ff4,301967889,3,20:59.0,20:50.0,10000,13000,30,,Good,00:00.0,3.70037,7.3943183,,2,10000,10000,13000,30,30,-1,TRUE
8a858e645755e62201576b58e3522081,301958834,3,44:57.0,44:51.0,10000,11500,15,,Good,00:00.0,3.3718018,6.5169394,,2,10000,10000,12250,22.5,30,3,TRUE
8a858e6c5bd3fbff015bd408ac3e067a,301993535,2,37:13.0,37:06.0,10000,11500,15,8a858ef458d4a52e0158d858eb5d6456,Bad,00:00.0,3.3661119,6.5975949,,1,10000,10000,11500,15,15,-1,FALSE
8a858e705668e16701567f1523211e5a,301985106,15,17:32.0,17:24.0,40000,44000,30,,Good,00:00.0,3.4296003,6.4530244,,14,26428.571428571428,40000,29717.85714285714,23.571428571428573,30,-2.714285714,TRUE
8a858e7d595026f8015951c0c4a03fae,301959458,10,50:24.0,50:19.0,30000,34500,30,,Good,00:00.0,7.8876376,8.8351164,,9,20000,30000,22611.11111111111,20,30,-3.666666667,TRUE
8a858e885c17687c015c19eead6338fd,301964283,3,34:08.0,34:02.0,10000,13000,30,8a858ff85bd93919015bda56605652bd,Good,00:00.0,3.345346,6.5617308,,2,10000,10000,13000,30,30,-7,TRUE
8a858e8f5d41c974015d4b7f31865627,302003432,2,26:07.0,25:59.0,10000,11500,15,8a858e495d1e235c015d30d5ddb42149,Bad,00:00.0,3.5246642,6.6592427,,1,10000,10000,11500,15,15,-6,TRUE
8a858e9b5a195041015a1a602a51519d,301976439,7,38:01.0,37:55.0,25000,28750,30,,Good,00:00.0,7.1694297,9.2174068,,6,13333.333333333334,20000,15020.833333333334,15,15,-2.666666667,FALSE
8a858ea555d9e6020155f489c9b237f8,301973446,3,22:01.0,21:55.0,10000,13000,30,,Good,00:00.0,3.8701435,7.3979258,,2,10000,10000,12250,22.5,30,0,TRUE
8a858eb05d2d1297015d313b03581809,301999087,2,22:07.0,22:01.0,10000,13000,30,,Good,00:00.0,3.9809867,7.4239296,,1,10000,10000,13000,30,30,-26,TRUE
8a858eb85c1be44c015c1c4b667d25ee,301963210,3,53:57.0,53:49.0,10000,13000,30,,Good,00:00.0,3.35763,6.668355,,2,10000,10000,12250,22.5,30,-11,TRUE
8a858ec75bfd77c4015c0d841520351c,301959286,4,36:47.0,36:40.0,20000,24500,30,,Good,00:00.0,6.8004083,6.1594433,,3,10000,10000,11500,15,15,-3.333333333,TRUE
8a858ed35cc5ce51015cc60f40f522b4,301981535,2,33:52.0,33:45.0,10000,11500,15,8a858edc59ee87640159eeb9774f1aa7,Good,00:00.0,3.2205031,6.5319046,,1,10000,10000,11500,15,15,-6,TRUE
8a858edb5ad79cc6015ad7c9b29415c8,301981500,5,17:01.0,15:48.0,20000,22250,15,,Good,00:00.0,3.479829,6.4489694,,4,12500,20000,15500,26.25,30,-4.75,TRUE
8a858ee55830c4b90158337542ab18a1,301972649,6,28:30.0,27:20.0,10000,13000,30,,Bad,,,,,5,10000,10000,13000,30,30,18,FALSE
8a858eec5ca21dcb015ca2493dee1e2d,301966278,2,39:24.0,39:18.0,10000,13000,30,,Good,00:00.0,3.259777,6.5532982,,1,10000,10000,13000,30,30,-24,TRUE
8a858ef75997d0180159a695b01e2c4c,301989547,5,43:59.0,43:53.0,20000,24500,30,,Good,00:00.0,7.4401471,8.9494179,,4,12500,20000,15875,30,30,0,FALSE
8a858f03582604ff0158260fcc730548,302001370,10,33:41.0,33:33.0,20000,24500,30,,Good,00:00.0,3.4085368,6.4281638,,9,13333.333333333334,20000,16211.111111111111,25,30,-0.888888889,TRUE
8a858f085b905684015b906e73a01478,302000465,4,31:10.0,30:00.0,20000,24500,30,,Good,00:00.0,3.2934205,6.6400639,,3,10000,10000,13000,30,30,0,TRUE
8a858f1955b1c4df0155cd14c5b478ed,302000569,2,17:13.0,16:00.0,10000,13000,30,,Good,,,,,1,10000,10000,11500,15,15,10,FALSE
8a858f2656e154de0156e3a87cdc45fb,301982122,5,27:00.0,26:52.0,20000,22250,15,,Good,00:00.0,5.6140915,6.3906691,,4,15000,20000,18750,30,30,-3,FALSE
8a858f2e5c699f3a015c6cf27a036477,301959225,2,42:36.0,42:30.0,10000,13000,30,8a858fc55b2548dd015b286e452c678c,Good,00:00.0,3.3594054,6.605609,,1,10000,10000,13000,30,30,-6,TRUE
8a858f335cd0c78e015cd435d7192800,301984674,2,32:19.0,32:13.0,10000,11500,15,,Good,00:00.0,2.957738,6.5342122,,1,10000,10000,11500,15,15,-1,TRUE
8a858f3d5add42e2015ae0ca6cb66b83,301998400,8,34:11.0,34:05.0,30000,34500,30,,Good,,,,,7,17142.85714285714,30000,19664.285714285714,19.285714285714285,30,-4.571428571,FALSE
