,customerid,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,referredby,birthdate,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,bank_branch_clients,employment_status_clients,level_of_education_clients,systemloanid_count,loanamount_mean,loanamount_max,totaldue_mean,termdays_mean,termdays_max,repayment_delay_mean
0,8a858899538ddb8e015390510b321f08,301998974,4,40:48.0,39:35.0,10000,12250.0,30,Unknown,,,,,,,,,3.0,8666.666666666666,10000.0,10966.666666666666,25.0,30.0,3.3333333333333335
1,8a858959537a097401537a4e316e25f7,301963615,10,43:40.0,42:34.0,40000,44000.0,30,Unknown,,,,,,,,,9.0,23888.88888888889,40000.0,27600.0,31.666666666666668,60.0,-3.888888888888889
2,8a8589c253ace09b0153af6ba58f1f31,301982236,6,15:11.0,15:04.0,20000,24500.0,30,Unknown,1981-09-05 00:00:00.000000,Savings,3.227945,6.5866683,UBA,Unknown,Permanent,Unknown,5.0,13000.0,20000.0,15935.0,27.0,30.0,3.6
3,8a858e095aae82b7015aae86ca1e030b,301971730,8,00:54.0,00:49.0,30000,34500.0,30,Unknown,,,,,,,,,7.0,17142.85714285714,30000.0,19342.85714285714,17.142857142857142,30.0,-3.2857142857142856
4,8a858e225a28c713015a30db5c48383d,301959177,4,04:33.0,04:27.0,20000,24500.0,30,Unknown,1975-08-25 00:00:00.000000,Savings,5.2483677,13.0598637,UBA,Unknown,Permanent,Unknown,3.0,10000.0,10000.0,12500.0,25.0,30.0,-3.3333333333333335
5,8a858e42570314e001570584d48641dc,301962275,9,18:16.0,18:10.0,30000,34500.0,30,Unknown,,,,,,,,,8.0,16250.0,30000.0,19450.0,26.25,30.0,-1.25
6,8a858e675c3fe0a1015c44ba8a037fee,301987980,2,14:28.0,14:20.0,10000,11500.0,15,Unknown,1994-04-26 00:00:00.000000,Savings,5.2888267,7.6040533,GT Bank,Unknown,Permanent,Unknown,1.0,10000.0,10000.0,13000.0,30.0,30.0,-4.0
7,8a858e705668e16701568d358c6579da,301965939,8,01:35.0,01:29.0,10000,11500.0,15,Unknown,,,,,,,,,7.0,10000.0,10000.0,11500.0,15.0,15.0,12.714285714285714
8,8a858e945bb0014b015bb526a9584a2d,301974975,3,42:52.0,42:46.0,20000,24500.0,30,Unknown,,,,,,,,,2.0,10000.0,10000.0,12250.0,22.5,30.0,-2.5
9,8a858eba5b681df4015b7c3d810c05ff,301974345,5,43:53.0,43:44.0,30000,34500.0,30,8a858e885b68546c015b738e5bc34366,,,,,,,,,4.0,15000.0,20000.0,17437.5,18.75,30.0,-5.0
10,8a858ec95afc0922015b0edc17e34984,301965287,4,48:41.0,48:26.0,20000,24500.0,30,Unknown,1982-04-15 00:00:00.000000,Savings,3.3398355,7.1181071,GT Bank,Unknown,Permanent,Unknown,3.0,10000.0,10000.0,13000.0,30.0,30.0,-5.333333333333333
11,8a858ee25b34d796015b387bdfb9477f,301994989,4,32:39.0,32:20.0,10000,11500.0,15,Unknown,,,,,,,,,3.0,10000.0,10000.0,12500.0,25.0,30.0,7.333333333333333
12,8a858f00590ac4e7015941db231908f6,301993055,7,35:06.0,34:52.0,30000,34500.0,30,Unknown,,,,,,,,,6.0,15000.0,20000.0,18633.333333333332,30.0,30.0,-0.5
13,8a858f085b494826015b4982ca1f1a0c,301998870,5,18:56.0,17:46.0,20000,24500.0,30,Unknown,,,,,,,,,4.0,12500.0,20000.0,15875.0,30.0,30.0,-5.5
14,8a858f275c451af5015c589ae56f15bf,301997444,2,35:42.0,35:34.0,10000,13000.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,30.0,-7.0
15,8a858f375b493337015b4b87fd557c4f,301969541,3,51:16.0,51:10.0,10000,11500.0,15,Unknown,,,,,,,,,2.0,10000.0,10000.0,13000.0,30.0,30.0,7.0
16,8a858f5b5bee1b11015bf1b4ffea5abb,301981908,3,37:48.0,37:41.0,10000,11500.0,15,Unknown,1989-05-13 00:00:00.000000,Savings,3.3716191,6.6051041,GT Bank,Unknown,Permanent,Unknown,2.0,10000.0,10000.0,12250.0,22.5,30.0,-4.5
17,8a858f665c45930d015c4b164bed3b03,301972779,2,52:30.0,52:25.0,10000,13000.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,30.0,-12.0
18,8a858f9d5668e3f10156749815b41f4d,301974128,10,18:14.0,18:07.0,40000,44000.0,30,Unknown,,,,,,,,,9.0,25555.555555555555,40000.0,29500.0,30.0,30.0,-6.555555555555555
19,8a858fc25c172499015c18614b6e3f30,301999704,3,08:42.0,08:34.0,10000,11500.0,15,Unknown,,,,,,,,,2.0,10000.0,10000.0,13000.0,30.0,30.0,2.5
20,8a858fd3552c75620155320b88a16398,301983090,11,59:52.0,58:41.0,40000,48000.0,60,Unknown,,,,,,,,,10.0,19500.0,40000.0,23295.0,33.0,60.0,-0.9
21,8a858fe758dc437a0159018589dc5df0,301997797,10,22:41.0,21:30.0,30000,34500.0,30,Unknown,1989-04-11 00:00:00.000000,Savings,3.9505415,7.4417655,Access Bank,Unknown,Permanent,Unknown,9.0,20000.0,30000.0,23211.11111111111,25.0,30.0,-1.4444444444444444
22,8a858e575a6c2e70015a6f61169b73b4,301995290,5,22:40.0,22:34.0,20000,24500.0,30,Unknown,,,,,,,,,4.0,12500.0,20000.0,15500.0,26.25,30.0,-2.25
23,8a858efd5b39cf3d015b3cb3b3882cc7,301971598,7,50:36.0,49:26.0,30000,39000.0,60,Unknown,1988-10-02 00:00:00.000000,Savings,3.3971517,6.45159,First Bank,Unknown,Permanent,Unknown,6.0,15000.0,20000.0,16875.0,15.0,15.0,-1.5
24,8a858faf56b7821c0156cdaa248222fd,301983363,3,43:02.0,41:49.0,10000,13000.0,30,Unknown,1990-03-12 00:00:00.000000,Savings,3.3003407,6.5846816,GT Bank,Unknown,Self-Employed,Unknown,2.0,10000.0,10000.0,13000.0,30.0,30.0,0.0
25,8a85887d5384ae1401538a1fd2a853d4,301960865,15,21:00.0,20:53.0,40000,44000.0,30,Unknown,,,,,,,,,14.0,26428.571428571428,40000.0,30426.785714285714,31.071428571428573,60.0,-6.214285714285714
26,8a8588d653a915270153aa96cfac2e31,301983245,4,40:31.0,40:24.0,10000,11500.0,15,Unknown,,,,,,,,,3.0,8333.333333333334,10000.0,9583.333333333334,15.0,15.0,-4.0
27,8a8589b953bc23f70153c7b5e85f25bd,301985594,6,59:34.0,59:28.0,20000,24500.0,30,Unknown,,,,,,,,,5.0,9000.0,10000.0,11090.0,24.0,30.0,11.2
28,8a858e205c21d53a015c32394c2162f8,301978360,4,04:16.0,04:08.0,10000,11500.0,15,Unknown,,,,,,,,,3.0,10000.0,10000.0,11500.0,15.0,15.0,1.3333333333333333
29,8a858e255557edfe015573404b8a167f,301981347,4,59:51.0,59:45.0,10000,13000.0,30,Unknown,1975-07-02 00:00:00.000000,Savings,3.3535824,6.595419,GT Bank,Unknown,Permanent,Unknown,3.0,9333.333333333334,10000.0,12133.333333333334,30.0,30.0,-3.3333333333333335
30,8a858e4a5cac6f81015cb07850bc4ed8,301983078,2,53:02.0,52:55.0,10000,11500.0,15,Unknown,,,,,,,,,1.0,10000.0,10000.0,11500.0,15.0,15.0,-3.0
31,8a858e685c217d36015c22d730c532f0,301966781,3,40:28.0,40:22.0,10000,11500.0,15,Unknown,,,,,,,,,2.0,10000.0,10000.0,11500.0,15.0,15.0,-5.5
32,8a858e955add2971015addf0bf9623ee,301998921,6,16:34.0,16:28.0,20000,24500.0,30,Unknown,,,,,,,,,5.0,14000.0,20000.0,17300.0,27.0,30.0,-1.4
33,8a858eb75c21a2b9015c2aff4a5f448a,301974654,2,06:58.0,06:46.0,10000,13000.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,30.0,15.0
34,8a858ed158f3044d0158fca3eea0698e,301993452,4,03:19.0,03:10.0,20000,24500.0,30,Unknown,,,,,,,,,3.0,10000.0,10000.0,13000.0,30.0,30.0,-8.0
35,8a858eed5af07cc4015af10da7565173,301984032,5,57:21.0,56:10.0,20000,24500.0,30,Unknown,,,,,,,,,4.0,12500.0,20000.0,15875.0,30.0,30.0,-1.5
36,8a858f0455d9feaf0155f230b2e1680f,301993135,2,12:36.0,12:28.0,10000,11500.0,15,Unknown,,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,30.0,0.0
37,8a858f1f58716185015872d14d3e0e39,302001183,4,10:11.0,10:04.0,15000,18375.0,30,Unknown,,,,,,,,,3.0,10000.0,10000.0,13000.0,30.0,30.0,-5.0
38,8a858f305cb1ec4e015cb65bf76e7744,301970545,2,18:05.0,18:00.0,10000,13000.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,13000.0,30.0,30.0,-13.0
39,8a858f4e5ca72981015ca7a4fdc23103,301967367,2,53:04.0,52:59.0,10000,11500.0,15,Unknown,,,,,,,,,1.0,10000.0,10000.0,11500.0,15.0,15.0,-5.0
40,8a858f7057b918e40157bd8c8a8e6ec1,301958523,2,38:35.0,38:29.0,10000,13000.0,30,Unknown,1971-04-15 00:00:00.000000,Other,3.6332618,6.8352288,GT Bank,Unknown,Permanent,Secondary,1.0,10000.0,10000.0,13000.0,30.0,30.0,-13.0
41,8a858fa05c82907b015c82bc5d911e17,302000461,2,28:08.0,27:01.0,10000,11500.0,15,Unknown,1988-02-28 00:00:00.000000,Savings,3.8705617,7.3607833,Access Bank,Unknown,Permanent,Unknown,1.0,10000.0,10000.0,11500.0,15.0,15.0,-3.0
42,8a858fbd5cd6054a015cea089d6d1c15,301973982,2,06:33.0,06:26.0,10000,13000.0,30,Unknown,,,,,,,,,1.0,10000.0,10000.0,11500.0,15.0,15.0,-4.0
43,8a858fd85b685607015b7c676ce10c40,301999616,3,34:12.0,33:03.0,10000,13000.0,30,Unknown,,,,,,,,,2.0,10000.0,10000.0,13000.0,30.0,30.0,15.0
44,8a858ffe5c44d5b6015c450d4ba52a5c,302003738,3,48:19.0,48:11.0,10000,13000.0,30,Unknown,,,,,,,,,2.0,10000.0,10000.0,13000.0,30.0,30.0,-3.5
